Customer_ID,last_order,first_order,orders,monetary,profit,segment,region,recency_days,recency_weeks,R,F,M,RFM_Score,Segment
1,2021-06-16,2021-06-16,1,2424.39,673.55,Corporate,West,1294,184,1,1,1,111,Lost
2,2024-12-25,2021-01-08,26,30541.27,7808.44,Consumer,East,6,0,5,4,4,544,Champions
3,2022-04-04,2022-04-04,1,405.59000000000003,154.28000000000003,Small Business,East,1002,143,1,1,1,111,Lost
4,2024-11-02,2021-01-17,21,48957.64,8620.94,Home Office,Central,59,8,3,4,4,344,Loyal Customers
5,2024-10-17,2021-10-13,19,50349.1,8393.44,Home Office,Central,75,10,3,4,4,344,Loyal Customers
6,2024-12-22,2021-01-10,69,171539.26,42980.75,Corporate,Central,9,1,5,5,5,555,Champions
7,2024-12-31,2021-01-22,47,115793.53,28368.85,Corporate,South,0,0,5,5,5,555,Champions
8,2024-12-24,2021-01-06,44,64348.16,17395.89,Corporate,West,7,1,5,5,5,555,Champions
9,2024-12-16,2021-01-14,30,68237.87,19335.05,Corporate,West,15,2,4,4,5,445,Champions
11,2023-08-16,2021-02-06,4,13937.81,2775.66,Corporate,West,503,71,1,2,3,123,Lost
12,2024-12-08,2021-10-12,6,4861.37,1050.66,Consumer,East,23,3,4,2,2,422,Promising
13,2022-12-11,2021-01-12,4,10877.73,3461.38,Corporate,East,751,107,1,2,2,122,Lost
14,2024-03-03,2023-09-07,3,2211.9900000000002,532.72,Consumer,West,303,43,1,1,1,111,Lost
15,2022-06-07,2022-06-07,1,443.28000000000003,169.98,Consumer,Central,938,134,1,1,1,111,Lost
16,2024-07-14,2021-08-11,8,13897.05,3708.56,Consumer,East,170,24,2,2,3,223,Lost
17,2024-12-26,2022-01-26,8,23909.76,3123.64,Corporate,West,5,0,5,2,3,523,Potential Loyalists
18,2022-08-26,2022-08-26,1,1999.59,494.49,Consumer,Central,858,122,1,1,1,111,Lost
19,2022-03-30,2022-03-30,1,951.75,221.75,Small Business,Central,1007,143,1,1,1,111,Lost
20,2024-09-29,2021-07-10,18,38337.91,10265.12,Corporate,South,93,13,2,4,4,244,Can't Lose
21,2024-12-18,2021-02-19,43,78296.99,16461.13,Consumer,South,13,1,4,5,5,455,Champions
22,2024-06-27,2024-05-18,2,3636.45,1152.64,Corporate,Central,187,26,2,1,1,211,Lost
23,2024-10-25,2021-11-16,3,3288.71,1035.47,Consumer,East,67,9,3,1,1,311,Hibernating
24,2024-05-27,2021-02-18,5,5069.04,1150.2,Small Business,West,218,31,2,2,2,222,Lost
25,2024-05-27,2021-06-22,5,7098.68,1877.76,Corporate,Central,218,31,2,2,2,222,Lost
26,2024-10-15,2021-09-24,9,10384.84,3943.3700000000003,Home Office,East,77,11,2,3,2,232,Lost
27,2024-12-14,2021-01-29,29,34344.95,8511.04,Consumer,East,17,2,4,4,4,444,Champions
28,2024-12-13,2021-03-08,39,97758.18,23441.86,Corporate,East,18,2,4,5,5,455,Champions
29,2024-12-02,2021-02-01,32,91949.93,24761.39,Corporate,West,29,4,4,5,5,455,Champions
