month,revenue,running_total
2021-01,924428.02,924428.02
2021-02,1038310.71,1962738.73
2021-03,1150893.27,3113632.0
2021-04,874901.13,3988533.13
2021-05,1238985.96,5227519.09
2021-06,1188848.59,6416367.68
2021-07,895869.46,7312237.14
2021-08,1492716.93,8804954.07
2021-09,1516997.92,10321951.99
2021-10,1318354.52,11640306.51
2021-11,1939571.53,13579878.04
2021-12,2012174.9,15592052.94
2022-01,1060323.93,16652376.87
2022-02,1015343.8,17667720.67
2022-03,1295231.78,18962952.45
2022-04,1084385.1,20047337.55
2022-05,1111850.98,21159188.53
2022-06,1220409.32,22379597.85
2022-07,886412.45,23266010.3
2022-08,1450929.58,24716939.88
2022-09,1602058.12,26318998.0
2022-10,1475154.17,27794152.17
2022-11,2008432.13,29802584.3
2022-12,2180328.18,31982912.48
2023-01,988732.32,32971644.8
2023-02,1123673.42,34095318.22
2023-03,1432081.74,35527399.96
2023-04,1167212.38,36694612.34
2023-05,1543319.77,38237932.11
2023-06,1354256.2,39592188.31
2023-07,913955.87,40506144.18
2023-08,1703884.04,42210028.22
2023-09,1716446.38,43926474.6
2023-10,1339412.77,45265887.37
2023-11,2316331.12,47582218.49
2023-12,2278733.29,49860951.78
2024-01,1328931.82,51189883.6
2024-02,1170656.45,52360540.05
2024-03,1433631.96,53794172.01
2024-04,1292436.51,55086608.52
2024-05,1450982.07,56537590.59
2024-06,1479603.3,58017193.89
2024-07,1021186.16,59038380.05
2024-08,1686416.41,60724796.46
2024-09,1774401.86,62499198.32
2024-10,1499724.56,63998922.88
2024-11,2305808.69,66304731.57
2024-12,2600515.11,68905246.68
