customer_id,recency_score,frequency_score,monetary_score
6,5,5,5
7,5,5,5
32,5,5,5
59,5,5,5
69,5,5,5
84,5,5,5
95,5,5,5
106,5,5,5
109,5,5,5
115,5,5,5
116,5,5,5
119,5,5,5
124,5,5,5
131,5,5,5
133,5,5,5
134,5,5,5
152,5,5,5
161,5,5,5
172,5,5,5
173,5,5,5
180,5,5,5
187,5,5,5
193,5,5,5
199,5,5,5
216,5,5,5
234,5,5,5
238,5,5,5
241,5,5,5
243,5,5,5
253,5,5,5
257,5,5,5
271,5,5,5
283,5,5,5
307,5,5,5
320,5,5,5
321,5,5,5
325,5,5,5
334,5,5,5
335,5,5,5
345,5,5,5
347,5,5,5
364,5,5,5
368,5,5,5
374,5,5,5
376,5,5,5
383,5,5,5
391,5,5,5
416,5,5,5
429,5,5,5
431,5,5,5
433,5,5,5
437,5,5,5
438,5,5,5
441,5,5,5
445,5,5,5
464,5,5,5
468,5,5,5
473,5,5,5
488,5,5,5
492,5,5,5
493,5,5,5
497,5,5,5
498,5,5,5
510,5,5,5
538,5,5,5
565,5,5,5
574,5,5,5
585,5,5,5
593,5,5,5
594,5,5,5
597,5,5,5
608,5,5,5
616,5,5,5
664,5,5,5
669,5,5,5
677,5,5,5
701,5,5,5
714,5,5,5
719,5,5,5
725,5,5,5
768,5,5,5
769,5,5,5
771,5,5,5
777,5,5,5
783,5,5,5
787,5,5,5
791,5,5,5
792,5,5,5
801,5,5,5
810,5,5,5
843,5,5,5
849,5,5,5
853,5,5,5
873,5,5,5
878,5,5,5
886,5,5,5
897,5,5,5
901,5,5,5
918,5,5,5
921,5,5,5
930,5,5,5
949,5,5,5
972,5,5,5
977,5,5,5
996,5,5,5
1001,5,5,5
1005,5,5,5
1024,5,5,5
1036,5,5,5
1054,5,5,5
1062,5,5,5
1064,5,5,5
1072,5,5,5
1082,5,5,5
1088,5,5,5
1097,5,5,5
1113,5,5,5
1134,5,5,5
1141,5,5,5
1156,5,5,5
1157,5,5,5
1173,5,5,5
1180,5,5,5
1189,5,5,5
1194,5,5,5
1197,5,5,5
1199,5,5,5
1211,5,5,5
1219,5,5,5
1221,5,5,5
1226,5,5,5
1234,5,5,5
1259,5,5,5
1265,5,5,5
1267,5,5,5
1268,5,5,5
1278,5,5,5
1284,5,5,5
1294,5,5,5
1304,5,5,5
1308,5,5,5
1325,5,5,5
1335,5,5,5
1346,5,5,5
1349,5,5,5
1354,5,5,5
1361,5,5,5
1363,5,5,5
1364,5,5,5
1367,5,5,5
1368,5,5,5
1375,5,5,5
1376,5,5,5
1380,5,5,5
1382,5,5,5
1383,5,5,5
1393,5,5,5
1402,5,5,5
1420,5,5,5
1428,5,5,5
1468,5,5,5
1471,5,5,5
1472,5,5,5
1481,5,5,5
1488,5,5,5
1497,5,5,5
1505,5,5,5
1517,5,5,5
1518,5,5,5
1520,5,5,5
1522,5,5,5
1523,5,5,5
1533,5,5,5
1543,5,5,5
1552,5,5,5
1553,5,5,5
1557,5,5,5
1567,5,5,5
1578,5,5,5
1588,5,5,5
1595,5,5,5
1600,5,5,5
1611,5,5,5
1633,5,5,5
1635,5,5,5
1638,5,5,5
1663,5,5,5
1676,5,5,5
1686,5,5,5
1688,5,5,5
1695,5,5,5
1703,5,5,5
1725,5,5,5
1735,5,5,5
