product_name,category,revenue,profit,margin
CoreX Computer 3,Technology,3890362.65,283137.0,0.0728
CoreX Computer 4,Technology,3669074.4,289195.68,0.0788
CoreX Computer 1,Technology,3154506.17,255432.59,0.081
CoreX Computer 2,Technology,2383230.51,205821.51,0.0864
Oakline Office Desk 5,Furniture,1974817.86,539424.66,0.2732
Oakline Office Desk 3,Furniture,1776481.69,475358.49,0.2676
Oakline Office Desk 6,Furniture,1767059.92,501493.27,0.2838
Oakline Chair 2,Furniture,1733876.39,562594.98,0.3245
Lumina Appliance 1,Home & Lifestyle,1678053.43,472642.52,0.2817
CoreX Phone 3,Technology,1602669.96,133640.97,0.0834
