month,revenue
2021-01,924428.02
2021-02,1038310.71
2021-03,1150893.27
2021-04,874901.13
2021-05,1238985.96
2021-06,1188848.59
2021-07,895869.46
2021-08,1492716.93
2021-09,1516997.92
2021-10,1318354.52
2021-11,1939571.53
2021-12,2012174.9
2022-01,1060323.93
2022-02,1015343.8
2022-03,1295231.78
2022-04,1084385.1
2022-05,1111850.98
2022-06,1220409.32
2022-07,886412.45
2022-08,1450929.58
2022-09,1602058.12
2022-10,1475154.17
2022-11,2008432.13
2022-12,2180328.18
2023-01,988732.32
2023-02,1123673.42
2023-03,1432081.74
2023-04,1167212.38
2023-05,1543319.77
2023-06,1354256.2
2023-07,913955.87
2023-08,1703884.04
2023-09,1716446.38
2023-10,1339412.77
2023-11,2316331.12
2023-12,2278733.29
2024-01,1328931.82
2024-02,1170656.45
2024-03,1433631.96
2024-04,1292436.51
2024-05,1450982.07
2024-06,1479603.3
2024-07,1021186.16
2024-08,1686416.41
2024-09,1774401.86
2024-10,1499724.56
2024-11,2305808.69
2024-12,2600515.11
