month,revenue,change_abs,growth_pct
2021-01,924428.0200000011,,
2021-02,1038310.7100000008,113882.68999999971,12.32
2021-03,1150893.2700000005,112582.5599999997,10.84
2021-04,874901.1300000002,-275992.14000000025,-23.98
2021-05,1238985.959999999,364084.8299999988,41.61
2021-06,1188848.5899999987,-50137.370000000345,-4.05
2021-07,895869.459999999,-292979.12999999966,-24.64
2021-08,1492716.9300000002,596847.4700000011,66.62
2021-09,1516997.9200000006,24280.990000000456,1.63
2021-10,1318354.5199999989,-198643.40000000177,-13.09
2021-11,1939571.530000004,621217.0100000051,47.12
2021-12,2012174.900000001,72603.36999999708,3.74
2022-01,1060323.9300000004,-951850.9700000007,-47.3
2022-02,1015343.8000000019,-44980.12999999849,-4.24
2022-03,1295231.7800000012,279887.9799999993,27.57
2022-04,1084385.0999999996,-210846.68000000156,-16.28
2022-05,1111850.980000003,27465.88000000338,2.53
2022-06,1220409.3200000015,108558.33999999845,9.76
2022-07,886412.4500000004,-333996.87000000104,-27.37
2022-08,1450929.580000003,564517.1300000027,63.69
2022-09,1602058.1200000006,151128.53999999748,10.42
2022-10,1475154.1699999995,-126903.95000000112,-7.92
2022-11,2008432.1299999987,533277.9599999993,36.15
2022-12,2180328.18,171896.05000000144,8.56
2023-01,988732.320000001,-1191595.8599999992,-54.65
2023-02,1123673.4199999995,134941.09999999846,13.65
2023-03,1432081.7400000028,308408.3200000033,27.45
2023-04,1167212.3800000022,-264869.36000000057,-18.5
2023-05,1543319.7699999984,376107.3899999962,32.22
2023-06,1354256.1999999988,-189063.5699999996,-12.25
2023-07,913955.8700000002,-440300.32999999856,-32.51
2023-08,1703884.04,789928.1699999998,86.43
2023-09,1716446.3799999985,12562.339999998454,0.74
2023-10,1339412.7700000007,-377033.6099999978,-21.97
2023-11,2316331.1200000015,976918.3500000008,72.94
2023-12,2278733.290000003,-37597.82999999868,-1.62
2024-01,1328931.8200000008,-949801.4700000021,-41.68
2024-02,1170656.449999998,-158275.37000000267,-11.91
2024-03,1433631.9599999986,262975.5100000005,22.46
2024-04,1292436.5100000033,-141195.4499999953,-9.85
2024-05,1450982.070000001,158545.55999999773,12.27
2024-06,1479603.3,28621.22999999905,1.97
2024-07,1021186.159999999,-458417.14000000106,-30.98
2024-08,1686416.4099999962,665230.2499999972,65.14
2024-09,1774401.8599999992,87985.45000000298,5.22
2024-10,1499724.5599999987,-274677.3000000005,-15.48
2024-11,2305808.6899999985,806084.1299999999,53.75
2024-12,2600515.109999999,294706.4200000004,12.78
